###一聲 ###
ㄍㄨㄤˉ	guang1
ㄍㄨㄥˉ	gong1
ㄎㄚˉ	ka1
ㄎㄜˉ	ke1
ㄎㄟˉ	kei1
ㄎㄞˉ	kai1
ㄎㄠˉ	kao1
ㄎㄡˉ	kou1
ㄎㄢˉ	kan1
ㄎㄣˉ	ken1
ㄎㄤˉ	kang1
ㄎㄥˉ	keng1
ㄎㄧㄤˉ	kiang1
ㄎㄨˉ	ku1
ㄎㄨㄚˉ	kua1
#ㄎㄨㄛˉ	kuo1
ㄎㄨㄞˉ	kuai1
ㄎㄨㄟˉ	kui1
ㄎㄨㄢˉ	kuan1
ㄎㄨㄣˉ	kun1
ㄎㄨㄤˉ	kuang1
ㄎㄨㄥˉ	kong1
ㄏㄚˉ	ha1
ㄏㄜˉ	he1
ㄏㄞˉ	hai1
ㄏㄟˉ	hei1
ㄏㄠˉ	hao1
ㄏㄡˉ	hou1
ㄏㄢˉ	han1
ㄏㄣˉ	hen1
ㄏㄤˉ	hang1
ㄏㄥˉ	heng1
ㄏㄨˉ	hu1
ㄏㄨㄚˉ	hua1
ㄏㄨㄛˉ	huo1
#ㄏㄨㄞˉ	huai1
ㄏㄨㄟˉ	hui1
ㄏㄨㄢˉ	huan1
ㄏㄨㄣˉ	hun1
ㄏㄨㄤˉ	huang1
ㄏㄨㄥˉ	hong1
ㄐㄧˉ	ji1
ㄐㄧㄚˉ	jia1
ㄐㄧㄝˉ	jie1
ㄐㄧㄠˉ	jiao1
ㄐㄧㄡˉ	jiu1
ㄐㄧㄢˉ	jian1
ㄐㄧㄣˉ	jin1
ㄐㄧㄤˉ	jiang1
ㄐㄧㄥˉ	jing1
ㄐㄩˉ	ju1
ㄐㄩㄝˉ	jue1
ㄐㄩㄢˉ	juan1
ㄐㄩㄣˉ	jun1
ㄐㄩㄥˉ	jiong1
ㄑㄧˉ	qi1
ㄑㄧㄚˉ	qia1
ㄑㄧㄝˉ	qie1
ㄑㄧㄠˉ	qiao1
ㄑㄧㄡˉ	qiu1
ㄑㄧㄢˉ	qian1
ㄑㄧㄣˉ	qin1
ㄑㄧㄤˉ	qiang1
ㄑㄧㄥˉ	qing1
ㄑㄩˉ	qu1
ㄑㄩㄝˉ	que1
ㄑㄩㄢˉ	quan1
ㄑㄩㄣˉ	qun1
ㄑㄩㄥˉ	qiong1
ㄒㄧˉ	xi1
ㄒㄧㄚˉ	xia1
ㄒㄧㄝˉ	xie1
ㄒㄧㄠˉ	xiao1
ㄒㄧㄡˉ	xiu1
ㄒㄧㄢˉ	xian1
ㄒㄧㄣˉ	xin1
ㄒㄧㄤˉ	xiang1
ㄒㄧㄥˉ	xing1
ㄒㄩˉ	xu1
ㄒㄩㄝˉ	xue1
ㄒㄩㄢˉ	xuan1
ㄒㄩㄣˉ	xun1
ㄒㄩㄥˉ	xiong1
ㄓㄚˉ	zha1
ㄓㄜˉ	zhe1
ㄓㄞˉ	zhai1
#ㄓㄟˉ	zhei1
ㄓㄠˉ	zhao1
ㄓㄡˉ	zhou1
ㄓㄢˉ	zhan1
ㄓㄣˉ	zhen1
ㄓㄤˉ	zhang1
ㄓㄥˉ	zheng1
ㄓㄨˉ	zhu1
ㄓㄨㄚˉ	zhua1
ㄓㄨㄛˉ	zhuo1
ㄓㄨㄞˉ	zhuai1
ㄓㄨㄟˉ	zhui1
ㄓㄨㄢˉ	zhuan1
ㄓㄨㄣˉ	zhun1
ㄓㄨㄤˉ	zhuang1
ㄓㄨㄥˉ	zhong1
ㄔㄚˉ	cha1
ㄔㄜˉ	che1
ㄔㄞˉ	chai1
ㄔㄠˉ	chao1
ㄔㄡˉ	chou1
ㄔㄢˉ	chan1
ㄔㄣˉ	chen1
ㄔㄤˉ	chang1
ㄔㄥˉ	cheng1
ㄔㄨˉ	chu1
ㄔㄨㄚˉ	chua1
ㄔㄨㄛˉ	chuo1
ㄔㄨㄞˉ	chuai1
ㄔㄨㄟˉ	chui1
ㄔㄨㄢˉ	chuan1
ㄔㄨㄣˉ	chun1
ㄔㄨㄤˉ	chuang1
ㄔㄨㄥˉ	chong1
ㄕㄚˉ	sha1
ㄕㄜˉ	she1
ㄕㄞˉ	shai1
#ㄕㄟˉ	shei1
ㄕㄠˉ	shao1
ㄕㄡˉ	shou1
ㄕㄢˉ	shan1
ㄕㄣˉ	shen1
ㄕㄤˉ	shang1
ㄕㄥˉ	sheng1
ㄕㄨˉ	shu1
ㄕㄨㄚˉ	shua1
ㄕㄨㄛˉ	shuo1
ㄕㄨㄞˉ	shuai1
#ㄕㄨㄟˉ	shui1
ㄕㄨㄢˉ	shuan1
#ㄕㄨㄣˉ	shun1
ㄕㄨㄤˉ	shuang1
#ㄕㄨㄥˉ	shong1
ㄖㄚˉ	ra1
#ㄖㄜˉ	re1
#ㄖㄠˉ	rao1
#ㄖㄡˉ	rou1
#ㄖㄢˉ	ran1
#ㄖㄣˉ	ren1
ㄖㄤˉ	rang1
ㄖㄥˉ	reng1
ㄖㄨˉ	ru1
#ㄖㄨㄛˉ	ruo1
#ㄖㄨㄟˉ	rui1
#ㄖㄨㄢˉ	ruan1
#ㄖㄨㄣˉ	run1
#ㄖㄨㄥˉ	rong1
ㄗㄚˉ	za1
#ㄗㄜˉ	ze1
ㄗㄞˉ	zai1
#ㄗㄟˉ	zei1
ㄗㄠˉ	zao1
ㄗㄡˉ	zou1
ㄗㄢˉ	zan1
ㄗㄣˉ	zen1
ㄗㄤˉ	zang1
ㄗㄥˉ	zeng1
ㄗㄨˉ	zu1
ㄗㄨㄛˉ	zuo1
ㄗㄨㄟˉ	zui1
ㄗㄨㄢˉ	zuan1
ㄗㄨㄣˉ	zun1
ㄗㄨㄥˉ	zong1
ㄘㄚˉ	ca1
#ㄘㄜˉ	ce1
ㄘㄞˉ	cai1
ㄘㄠˉ	cao1
ㄘㄡˉ	cou1
ㄘㄢˉ	can1
ㄘㄣˉ	cen1
ㄘㄤˉ	cang1
ㄘㄥˉ	ceng1
ㄘㄨˉ	cu1
ㄘㄨㄛˉ	cuo1
ㄘㄨㄟˉ	cui1
ㄘㄨㄢˉ	cuan1
ㄘㄨㄣˉ	cun1
ㄘㄨㄥˉ	cong1
ㄙㄚˉ	sa1
ㄙㄜˉ	se1
ㄙㄞˉ	sai1
ㄙㄟˉ	sei1
ㄙㄠˉ	sao1
ㄙㄡˉ	sou1
ㄙㄢˉ	san1
ㄙㄣˉ	sen1
ㄙㄤˉ	sang1
ㄙㄥˉ	seng1
ㄙㄨˉ	su1
ㄙㄨㄛˉ	suo1
ㄙㄨㄟˉ	sui1
ㄙㄨㄢˉ	suan1
ㄙㄨㄣˉ	sun1
ㄙㄨㄥˉ	song1
ㄧㄚˉ	ya1
ㄧㄛˉ	yo1
ㄧㄝˉ	ye1
#ㄧㄞˉ	yai1
ㄧㄠˉ	yao1
ㄧㄡˉ	you1
ㄧㄢˉ	yan1
ㄧㄣˉ	yin1
ㄧㄤˉ	yang1
ㄧㄥˉ	ying1
ㄨㄚˉ	wa1
ㄨㄛˉ	wo1
ㄨㄞˉ	wai1
ㄨㄟˉ	wei1
ㄨㄢˉ	wan1
ㄨㄣˉ	wen1
ㄨㄤˉ	wang1
ㄨㄥˉ	weng1
ㄩㄝˉ	yue1
ㄩㄢˉ	yuan1
ㄩㄣˉ	yun1
ㄩㄥˉ	yong1
###二聲 ###
ㄓˊ	zhi2
ㄔˊ	chi2
ㄕˊ	shi2
#ㄖˊ	ri2
ㄗˊ	zi2
ㄘˊ	ci2
ㄙˊ	si2
ㄧˊ	yi2
ㄨˊ	wu2
ㄩˊ	yu2
ㄚˊ	a2
ㄛˊ	o2
ㄜˊ	e2
ㄝˊ	eh2
ㄞˊ	ai2
ㄟˊ	ei2
ㄠˊ	ao2
ㄡˊ	ou2
ㄢˊ	an2
ㄣˊ	en2
ㄤˊ	ang2
ㄥˊ	eng2
ㄦˊ	er2
ㄅㄚˊ	ba2
ㄅㄛˊ	bo2
ㄅㄞˊ	bai2
#ㄅㄟˊ	bei2
ㄅㄠˊ	bao2
#ㄅㄢˊ	ban2
#ㄅㄣˊ	ben2
#ㄅㄤˊ	bang2
ㄅㄥˊ	beng2
ㄅㄧˊ	bi2
ㄅㄧㄝˊ	bie2
ㄅㄧㄠˊ	biao2
#ㄅㄧㄢˊ	bian2
#ㄅㄧㄣˊ	bin2
ㄅㄧㄥˊ	bing2
ㄅㄨˊ	bu2
ㄆㄚˊ	pa2
ㄆㄛˊ	po2
ㄆㄞˊ	pai2
ㄆㄟˊ	pei2
ㄆㄠˊ	pao2
ㄆㄡˊ	pou2
ㄆㄢˊ	pan2
ㄆㄣˊ	pen2
ㄆㄤˊ	pang2
ㄆㄥˊ	peng2
ㄆㄧˊ	pi2
#ㄆㄧㄝˊ	pie2
ㄆㄧㄠˊ	piao2
ㄆㄧㄢˊ	pian2
ㄆㄧㄣˊ	pin2
ㄆㄧㄥˊ	ping2
ㄆㄨˊ	pu2
ㄇㄚˊ	ma2
ㄇㄛˊ	mo2
#ㄇㄜˊ	me2
ㄇㄞˊ	mai2
ㄇㄟˊ	mei2
ㄇㄠˊ	mao2
ㄇㄡˊ	mou2
ㄇㄢˊ	man2
ㄇㄣˊ	men2
ㄇㄤˊ	mang2
ㄇㄥˊ	meng2
ㄇㄧˊ	mi2
ㄇㄧㄝˊ	mie2
ㄇㄧㄠˊ	miao2
#ㄇㄧㄡˊ	miu2
ㄇㄧㄢˊ	mian2
ㄇㄧㄣˊ	min2
ㄇㄧㄥˊ	ming2
ㄇㄨˊ	mu2
ㄈㄚˊ	fa2
ㄈㄛˊ	fo2
ㄈㄟˊ	fei2
ㄈㄡˊ	fou2
ㄈㄢˊ	fan2
ㄈㄣˊ	fen2
ㄈㄤˊ	fang2
ㄈㄥˊ	feng2
ㄈㄨˊ	fu2
ㄉㄚˊ	da2
